filename,detector,pixel_x,pixel_y,ra_deg,dec_deg
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,3578.736842,1532.421053,269.7171042625,66.0201710387
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,3783.368421,1532.421053,269.7017014418,66.0201746438
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,3988.000000,1532.421053,269.6863020224,66.0201786258
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,100.000000,1737.052632,269.9792763393,66.0262900835
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,304.631579,1737.052632,269.9638347940,66.0262902627
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,509.263158,1737.052632,269.9483934863,66.0262906387
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,713.894737,1737.052632,269.9329528004,66.0262911822
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,918.526316,1737.052632,269.9175130531,66.0262918705
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,1123.157895,1737.052632,269.9020745020,66.0262926877
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,1327.789474,1737.052632,269.8866373543,66.0262936237
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,1532.421053,1737.052632,269.8712017752,66.0262946739
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,1737.052632,1737.052632,269.8557678966,66.0262958387
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,1941.684211,1737.052632,269.8403358252,66.0262971229
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,2146.315789,1737.052632,269.8249056516,66.0262985355
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,2350.947368,1737.052632,269.8094774584,66.0263000889
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,2555.578947,1737.052632,269.7940513291,66.0263017986
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,2760.210526,1737.052632,269.7786273561,66.0263036826
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,2964.842105,1737.052632,269.7632056497,66.0263057611
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,3169.473684,1737.052632,269.7477863465,66.0263080560
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,3374.105263,1737.052632,269.7323696181,66.0263105904
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,3578.736842,1737.052632,269.7169556791,66.0263133881
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,3783.368421,1737.052632,269.7015447964,66.0263164733
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,3988.000000,1737.052632,269.6861372971,66.0263198700
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,100.000000,1941.684211,269.9792618490,66.0324412335
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,304.631579,1941.684211,269.9638124694,66.0324414247
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,509.263158,1941.684211,269.9483633527,66.0324417684
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,713.894737,1941.684211,269.9329148750,66.0324422417
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,918.526316,1941.684211,269.9174673456,66.0324428272
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,1123.157895,1941.684211,269.9020210158,66.0324435136
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,1327.789474,1941.684211,269.8865760869,66.0324442941
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,1532.421053,1941.684211,269.8711327191,66.0324451667
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,1737.052632,1941.684211,269.8556910401,66.0324461333
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,1941.684211,1941.684211,269.8402511533,66.0324471992
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,2146.315789,1941.684211,269.8248131466,66.0324483729
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,2350.947368,1941.684211,269.8093771009,66.0324496654
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,2555.578947,1941.684211,269.7939430984,66.0324510898
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,2760.210526,1941.684211,269.7785112316,66.0324526607
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,2964.842105,1941.684211,269.7630816114,66.0324543940
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,3169.473684,1941.684211,269.7476543759,66.0324563062
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,3374.105263,1941.684211,269.7322296987,66.0324584142
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,3578.736842,1941.684211,269.7168077978,66.0324607344
